component	chapter	code	kind	preferred	description	inclusions	exclusions	depth
D	F	FD69.03	otherDiagnosis	Presbyopia	The normal decreasing elasticity of the crystalline lens that leads to loss of accommodation.			1
D	F	FD70	otherDiagnosis	Cataract	Cataract is a clouding of the lens inside the eye which leads to a decrease in vision. It is the most common cause of blindness and is conventionally treated with surgery. Visual loss occurs because opacification of the lens obstructs light from passing and being focused on to the retina at the back of the eye.		congenital cataract FD56	0
D	F	FD70.00	otherDiagnosis	Senile cataract	A senile cataract is a clouding of the lens of the eye, which impedes the passage of light, related to ageing, and that occurs usually starting from the age of 40.			1
D	F	FD71	otherDiagnosis	Glaucoma	An ocular disease, occurring in many forms, having as its primary characteristics an unstable or a sustained increase in the intraocular pressure which the eye cannot withstand without damage to its structure or impairment of its function.		congenital glaucoma FD56	0
D	F	FD71.00	otherDiagnosis	Narrow-angle glaucoma	Primary angle closure glaucoma is a condition described as angle closure or/and peripheral anterior synechiae with elevated intraocular pressure and evidence of optic nerve damage.			1
D	F	FD71.01	otherDiagnosis	Open-angle glaucoma	Primary open-angle glaucoma is a chronic progressive optic neuropathy with characteristic morphological changes at the optic nerve head and retinal nerve fibre layer in the absence of other ocular disease or congenital anomalies. Progressive retinal ganglion cell death and visual field loss are associated with these changes. Anterior chamber angle appearance is normal and major risk factors include level of intraocular pressure and older age.			1
D	F	FD71.02	otherDiagnosis	Raised intraocular pressure	A condition in which the intraocular pressure is elevated above normal and which may lead to glaucoma.			1
D	F	FD71.03	otherDiagnosis	Secondary glaucoma				1
D	F	FD72	otherDiagnosis	Blindness		partial or complete blindness of both eyes	blurred vision or temporary blindness FS05;colour or night blindness FD99;refractive errors FD69;snow blindness FD36;severe visual impairment	0
D	F	FD73	otherDiagnosis	Strabismus	Lack of parallelism of visual axis of the eyes demonstrated at medical examination.	cross-eye;squint		0
D	F	FD74	otherDiagnosis	Pterygium	Pterygium is a benign growth of the conjunctiva extending onto cornea that is characterised by elastotic degeneration of collagen (actinic elastosis) and fibrovascular proliferation.			0
D	F	FD99	otherDiagnosis	Other specified or unknown diagnosis or diseases of eye and adnexa		amblyopia;arcus senilis;blindness one eye;colour blindness;corneal opacity;disorder of orbit;ingrowing eyelash;lazy eye;night blindness;papilloedema		0
D	F	FD99.00	otherDiagnosis	Ectropion	The turning outward (eversion) of the edge of the eyelid, resulting in the exposure of the palpebral conjunctiva.			1
D	F	FD99.01	otherDiagnosis	Entropion	The turning inward (inversion) of the edge of the eyelid.			1
D	F	FD99.02	otherDiagnosis	Episcleritis	Episcleritis is a benign, self-limiting inflammatory disease affecting part of the eye called the episclera. The episclera is a thin layer of tissue that lies between the conjunctiva and the connective tissue layer that forms the white of the eye (sclera). Episcleritis is a common condition, and is characterised by the abrupt onset of mild eye pain and redness.			1
D	F	FD99.03	otherDiagnosis	Scleritis	Inflammation of the white, opaque, fibrous, outer tunic of the eyeball. Can be associated with uveitis.			1
D	F	FD99.04	otherDiagnosis	Posterior vitreous detachment	Detachment of the corpus vitreum (vitreos body) from its normal attachments, especially the retina, due to shrinkage from degenerative or inflammatory conditions, trauma, myopia, or senility.			1
S	F	FS01	symptom	Eye pain			abnormal eye sensations FS07	0
S	F	FS02	symptom	Red eye		bloodshot		0
S	F	FS03	symptom	Eye discharge		lacrimation;purulent discharge		0
S	F	FS03.00	symptom	Watery eye	Epiphora is overflow of tears onto the face. A clinical sign or condition that constitutes insufficient tear film drainage from the eyes in that tears will drain down the face rather than through the nasolacrimal system.			1
S	F	FS04	symptom	Visual floaters or spots	Floaters are dark spots or shapes that seem to float in front of the retinal image.	fixed/floating spots in the visual field		0
S	F	FS05	symptom	Decreased visual acuity	A decreased vision for sensing form and contour, distant or near, for one or both eyes.	blurred vision;difficulty reading;reduced vision;visual loss;weak eyes	blindness one eye FD72;night blindness FD99;permanent blindness FD72;refractive errors FD69;snow blindness FD36	0
S	F	FS06	symptom	Other specified visual disturbances		diplopia;eye strain;photophobia;scotoma and dazzle when symptoms confined to eyes;temporary blindness NOS	night blindness FD99;permanent blindness FD72;refractive errors FD69;snow blindness FD36	0
S	F	FS07	symptom	Dry eye or other abnormal eye sensations		burning eye;itchy eye	eye pain FS01	0
S	F	FS07.00	symptom	Dry eye (syndrome)	Corneal and conjunctival dryness due to deficient tear production, predominantly in menopausal and post-menopausal women. Filamentary keratitis or erosion of the conjunctival and corneal epithelium may be caused by these disorders. Sensation of the presence of a foreign body in the eye and burning of the eyes may occur.			1
S	F	FS08	symptom	Abnormal eye appearance		changed eye colour iris;swollen eye	red eye FS02	0
S	F	FS09	symptom	Eyelid symptoms or complaints		abnormal blinking;ptosis eyelid	inflamed eyelid FD02	0
S	F	FS09.00	symptom	Blepharochalasis	This is a malposition of the eyelid caused either by involution or by inflammation of the eyelid. The inflammation is characterised by exacerbations and remissions of eyelid oedema, which results in a stretching and subsequent atrophy of the eyelid tissue resulting in redundant folds over the lid margins. It typically affects only the upper eyelids, and may be unilateral as well as bilateral.			1
S	F	FS09.01	symptom	Xanthelasma palpebrarum	Xanthelasmata are a form of plane xanthoma which manifest as sharply demarcated yellowish deposits of lipid within the skin of the eyelid. While they are neither harmful nor painful, these minor growths may be disfiguring and may be the presenting sign of hypercholesterolaemia. They are common in people of Asian origin and those from the Mediterranean region.			1
S	F	FS10	symptom	Glasses or contact lenses symptoms or complaints		Problems due to spectacles and/or contact lens affecting structure, function or sensations of eye(s).		0
S	F	FS90	complaint	Concern or fear of eye disease	Concern about or fear of eye disease in a patient without the disease, and until the diagnosis is proven.			0
S	F	FS99	symptom	Other specified symptoms, complaints, abnormal findings of eye		abnormal eye movements;nystagmus		0
D	G	GD01	infection	Syphilis	Demonstration of Treponema pallidum on microscopy or positive serological test for syphilis.	condyloma latum;lues;syphilis of any site;urogenital syphilis		0
D	G	GD02	infection	Gonorrhoea	Gonorrhoea is characterised by purulent vaginal, urethral or rectal discharge with Gram-negative intracellular diplococci demonstrated in a patient after a contact with a proven case, or Neisseria gonorrhoea cultured.	gonorrhoea of any site		0
D	G	GD03	infection	Genital herpes	Genital herpes is characterised by small vesicles with characteristic appearance and location that involve into painful ulcers and scabs.	anogenital herpes simplex		0
D	G	GD04	infection	Genital trichomoniasis	Trichomoniasis is a common sexually transmitted infection caused by a parasite. In women, trichomoniasis can cause a foul-smelling vaginal discharge, genital itching and painful urination. Men who have trichomoniasis typically have no symptoms. Pregnant women who have trichomoniasis  might be at higher risk of delivering their babies prematurely.	trichomonal vaginitis		0
D	G	GD05	infection	Genital human papilloma virus infection		condylomata acuminata;venereal warts		0
D	G	GD06	infection	Genital Chlamydia infection	An infection with the gram-negative bacteria Chlamydia trachomatis. This infection may be asymptomatic. In female, it may be characterised by fever, painful urination, urinary urgency, dyspareunia, vaginal bleeding or discharge, and pain in the abdomen. In males it may be characterised by fever, urethritis, painful urination, discharge from the penis, swollen or tender testicles in males. Transmission is by anal, vaginal, or oral sex. Confirmation is by identification of Chlamydia trachomatis.			0
D	G	GD06.00	infection	Cervicitis caused by Chlamydia				1
D	G	GD06.01	infection	Pelvic inflammatory disease by Chlamydia				1
D	G	GD06.02	infection	Vaginitis caused by Chlamydia				1
D	G	GD06.03	infection	Chlamydia-infection male				1
D	G	GD07	infection	Other specified or unknown sexual transmitted disease				0
D	G	GD07.00	infection	Lymphogranuloma venerum	A disease of the inguinal lymph glands, caused by an infection with the gram-negative bacteria Chlamydia trachomatis. This disease is characterised by a genital ulcer, buboes, abscesses in the groin, blood in faeces, tenesmus, or proctocolitis. Transmission is by sexual contact. Confirmation is by identification of Chlamydia trachomatis in a blood sample or by polymerase chain reaction tests.			1
D	G	GD08	infection	Genital candidiasis or balanitis		monilial infection of vagina/cervix	vaginal discharge GS16;vaginitis GD12	0
D	G	GD08.00	infection	Candida balanitis	A disease caused by an infection with the fungi Candida (commonly Candida albicans). This disease is characterised by inflammation of the glans or prepuce. This disease may also present with eroded white papules, or white discharge. Transmission is by sexual contact. Confirmation is by identification of Candida in a sub-preputial swab or urine sample.			1
D	G	GD09	infection	Pelvic inflammatory disease	Pelvic inflammatory disease is characterised by lower abdominal pain with marked tenderness of uterus or adnexa by palpation, plus other evidence of inflammation.	endometritis;oophoritis;salpingitis	chlamydia infection genital female GD06;genital candidiasis female GD08;genital trichomoniasis female GD04;gonorrhoea female GD02;syphilis female GD01	0
D	G	GD10	infection	Prostatitis or seminal vesiculitis or both	Prostatitis/seminal vesiculitis is characterised by tenderness of prostate/seminal vesicles to palpation, and indications of inflammation in urine test.			0
D	G	GD11	infection	Orchitis or epididymitis	Orchitis/epididymitis is characterised by both swelling and tenderness of testes/epididymis, and absence of a specific aetiology (mumps, gonoccocal, tuberculosis, trauma, torsion).		gonococcal orchitis GD02;mumps DD02;torsion of testis GD99;tuberculosis AD15	0
D	G	GD11.00	infection	Epididymitis	Inflammation of the epididymis. Its clinical features include enlarged epididymis, a swollen scrotum; pain; pyuria; and fever. It is usually related to infections in the urinary tract, which likely spread to the epididymis through either the vas deferens or the lymphatics of the spermatic cord.			1
D	G	GD11.01	infection	Orchitis	Inflammation of a testis. It has many features of epididymitis, such as swollen scrotum; pain; pyuria; and fever. It is usually related to infections in the urinary tract, which likely spread to the epididymis and then the testis through either the vas deferens or the lymphatics of the spermatic cord.			1
D	G	GD12	infection	Vaginitis or vulvitis			atrophic vaginitis GS13;genital candidiasis female GD08;genital trichomoniasis female GD10;trichomoniasis vaginitis GD04	0
D	G	GD12.00	infection	Vaginosis (bacterial)	Polymicrobial, nonspecific vaginitis associated with positive cultures of Gardnerella vaginalis and other anaerobic organisms and a decrease in lactobacilli. It remains unclear whether the initial pathogenic event is caused by the growth of anaerobes or a primary decrease in lactobacilli.	gardnerella		1
D	G	GD25	neoplasm	Malignant neoplasms of cervix	Characteristic histological appearance.		abnormal  cervix smear (CIN) grades 1 and 2 GS50;carcinoma-in-situ cervix GD32;cervical intraepithelial neoplasia (CIN) grade 3 GD32	0
D	G	GD26	neoplasm	Malignant neoplasms of prostate	Characteristic histological appearance.			0
D	G	GD27	neoplasm	Malignant neoplasms of breast	Characteristic histological appearance.		carcinoma in situ GD32	0
D	G	GD27.00	neoplasm	Adenocarcinoma mammae				1
D	G	GD28	neoplasm	Other specified or unknown malignant genital neoplasms	Characteristic histological appearance.	malignant neoplasm of adnexae;malignant neoplasm of vagina;malignant neoplasm of vulva;unknown malignant genital neoplasm	carcinoma in situ GD32	0
D	G	GD28.00	neoplasm	Adenocarcinoma of endometrium			malignant neoplasm of uterus GD28.04	1
D	G	GD28.01	neoplasm	Malignancy of ovaries				1
D	G	GD28.02	neoplasm	Malignant neoplasm of penis				1
D	G	GD28.03	neoplasm	Malignant neoplasm of testis		carcinoma of testis/seminoma		1
D	G	GD28.04	neoplasm	Malignant neoplasm of uterus			adenocarcinoma of endometrium GD28.00	1
D	G	GD29	neoplasm	Fibromyoma of uterus or cervix or both	Fibromyoma of uterus is characterised by enlargement of the uterus not due to pregnancy or malignancy, with single or multiple firm tumors of the uterus/cervix.	fibromyoma of cervix		0
D	G	GD29.00	neoplasm	Myoma of uterus	A well-circumscribed benign smooth muscle neoplasm characterised by the presence of spindle cells with cigar-shaped nuclei, interlacing fascicles, and a whorled pattern.			1
D	G	GD30	neoplasm	Benign neoplasms of breast	Characteristic histological appearance.	fibroadenoma of breast	cystic disease of breast GD67	0
D	G	GD31	neoplasm	Benign neoplasms of genital system	Characteristic histological appearance.		benign prostate hypertrophy GD70;physiological cyst of ovary GD99;polyp of cervix GD65	0
D	G	GD32	neoplasm	Genital neoplasm, in situ or uncertain		other carcinoma-in-situ;other genital neoplasm not specified as benign or malignant when histology is not available	benign prostatic hypertrophy GD70;endometrial polyp GD29	0
D	G	GD35	trauma	Genital injuries		circumcision	genital injury due to childbirth (complicated labour/delivery livebirth) WD82;genital injury due to childbirth (Complicated labour/delivery stillbirth) WD83	0
D	G	GD35.00	trauma	Corpus alienum genital tract				1
D	G	GD35.01	trauma	Female genital mutilation	Female genital mutilation (FGM) comprises all procedures that involve partial or total removal of the external female genitalia, or other injury to the female genital organs for non-medical reasons			1
D	G	GD55	congenital	Congenital anomaly of genital system		hermaphroditism		0
D	G	GD55.00	congenital	Imperforate hymen	A condition in which the hymen, the membrane that surrounds or partially covers the external vaginal opening, is harder than normal or is complete and sealed without any opening into the vaginal vault.			1
D	G	GD55.01	congenital	Retractile testis	A retractile testicle is one that may move back and forth between the scrotum and the groin. For most boys, the problem resolves sometime before or during puberty.			1
D	G	GD56	congenital	Hypospadias				0
D	G	GD57	congenital	Undescended testicle	This disorder is characterised by the absence of one or both testes from the scrotum. This disorder may also present with reduced fertility, psychological implications, or increased risk of testicular germ cell tumors.	cryptorchidism;bilateral undescended testicles;unilateral undescended testicle	retractile testis GD55	0
D	G	GD65	otherDiagnosis	Cervical disease		cervical leucoplakia;cervicitis;old laceration of cervix	abnormality of cervix in pregnancy/childbirth/puerperium WD55;abnormal cervix smear GS50	0
D	G	GD65.00	otherDiagnosis	Cervical erosion	A condition of the cervix uteri, caused by an increase in the total estrogen level in the body. This condition is characterised by protrusion and transformation of the endocervical columnar epithelium to stratified squamous epithelium on the cervix uteri. This condition may also present with non-purulent vaginal discharge, post-coital bleeding, or may be asymptomatic.			1
D	G	GD65.01	otherDiagnosis	Cervical polyp				1
D	G	GD66	otherDiagnosis	Uterovaginal prolapse	The descent of one or more of the anterior vaginal wall, posterior vaginal wall, the uterus (cervix), or the apex of the vagina (vaginal vault) or cuff scar after hysterectomy.	procidentia	stress incontinence US03	0
D	G	GD66.00	otherDiagnosis	Cystocele	A hernia-like condition in which the weakened pelvic muscles cause the uirnary bladder to drop from its normal position. Fallen urinary bladder is more common in females with the bladder dropping into the vagina and less common in males with the bladder dropping into the scrotum.			1
D	G	GD66.01	otherDiagnosis	Rectocele	Herniation of the rectum into the vagina.			1
D	G	GD67	otherDiagnosis	Fibrocystic disease breast	A condition characterised by changes to the breast tissue leading to benign, noncancerous lesions in the breast. This condition may be associated with small or large cyst formation, hyperplasia of the ductal epithelium, apocrine metaplasia of the ductal cells, papillomatosis, duct ectasia, sclerosing adenosis, or fibrosis of the stroma. This condition may also present with breast pain, thickening of breast tissue, or nipple discharge that worsens prior to menstruation, or may be asymptomatic. Confirmation is by clinical breast exam, followed by mammography or ultrasonography to identify abnormal tissue.	chronic cystic disease of breast;cystic fibroadenosis of breast;dysplasia of breast;solitary cyst of breast		0
D	G	GD68	otherDiagnosis	Premenstrual tension syndrome	A syndrome affecting females that is frequently idiopathic. This syndrome is characterised by certain environmental, metabolic, or behavioural factors that occur during the luteal phase of the menstrual cycle, and leads to cyclic emotional, physical, or behavioural symptoms that interfere with an individual's lifestyle.			0
D	G	GD69	otherDiagnosis	Endometriosis	A condition of the uterus that is frequently idiopathic. This condition is characterised by ectopic growth and function of endometrial tissue outside the uterine cavity. This condition may be associated with remaining vestigial tissue from the Wolffian or Mullerian duct, or fragments of endometrium refluxed backward into the peritoneal cavity during menstruation. This condition may also present with dysmenorrhoea, dyspareunia, nonmenstrual pelvic pain, infertility, alteration of menses, or may be asymptomatic. Confirmation is by laparoscopy and histological identification of ectopic fragments.			0
D	G	GD70	otherDiagnosis	Benign prostatic hypertrophy	A condition of the prostate, caused by an increased rate of cellular division of the glandular and stromal cells. This condition is characterised by enlargement of the prostatic tissue, dysuria, urinary urgency, nocturia, weak urine stream, straining while urinating, incomplete bladder emptying during urination, or increased frequency of urinary tract infection.	hyperplasia of prostate;median bar of prostate;prostatic obstruction;prostatomegaly		0
D	G	GD71	otherDiagnosis	Hydrocele or spermatocele or both	A condition characterised by an accumulation of serous fluid (a non-tender fluctuant swelling) in the tunica vaginalis testis or along the spermatic cord, and cystic swelling containing fluid and dead spermatozoa of the testicular epididymis, rete testis or efferent ductuli.			0
D	G	GD71.00	otherDiagnosis	Hydrocele	Accumulation of serous fluid between the layers of membrane (tunica vaginalis) covering the testis in the scrotum.	infected hydrocele		1
D	G	GD71.01	otherDiagnosis	Spermatocele	A condition characterised by cystic swelling (containing fluid and dead spermatozoa) of the epididymis, rete testis, or efferent ductuli. This condition may be associated with obstruction of the epididymal ducts due to trauma, infection, or an inflammatory process.			1
D	G	GD72	otherDiagnosis	Phimosis or paraphimosis	Phimosis is when a foreskin can't be pulled down (retracted) from the tip of the penis. This is a common problem in young boys. Paraphimosis is when the foreskin is retracted but can't move back up. This can prevent normal blood flow in the penis, and may cause serious problems.			0
D	G	GD99	otherDiagnosis	Other specified and unknown diagnoses and diseases of genital system		epididymal cyst;genital tract fistula female;physiological ovarian cyst	gynaecomastia GS28;mastitis WD03	0
D	G	GD99.00	otherDiagnosis	Bartholinitis	A condition of the Bartholin gland, caused by an infection with a bacterial, viral, or fungal source. This condition is characterised by focal accumulation of purulent material in the Bartholin gland, located on either side of the vaginal opening. This condition may present with swelling on either side of the vagina, pain on sexual intercourse, or fever. Confirmation is by gynaecological examination.	abscess of Bartholin gland		1
D	G	GD99.01	otherDiagnosis	Mastitis (non-lactating)				1
D	G	GD99.02	otherDiagnosis	Ovarian cyst	Any collection of fluid, surrounded by a very thin wall, within an ovary, which is not classified elsewhere. This includes any ovarian follicle that is larger than about two centimetres in diameter.			1
D	G	GD99.03	otherDiagnosis	Torsion of testis	Any condition characterised by a partial or complete rotation and an occlusion to the venous or arterial blood supply of the testis, epididymis or testicular appendix.	torsion of appendix testis		1
S	G	GS01	symptom	Pain in penis			priapism or painful erection GS20	0
S	G	GS02	symptom	Pain in testis		pain in scrotum		0
S	G	GS03	symptom	Other specified genital pain		pelvic pain;perineal pain;vaginal pain;vulval pain;vulvodynia	breast pain female GS04;dyspareunia female GS23;menstrual pain GS05	0
S	G	GS04	symptom	Pain in breast		mastalgia;mastodynia;tenderness of breast	painful breasts in pregnancy or lactation period WS06	0
S	G	GS05	symptom	Menstrual pain		dysmenorrhoea;menstrual cramps;menstruation pain		0
S	G	GS06	symptom	Intermenstrual pain		Mittelschmerz;ovulation pain		0
S	G	GS07	symptom	Absent or scanty menstruation		delayed menses;late menses	fear of pregnancy WS90;question of pregnancy WS01	0
S	G	GS07.00	symptom	Amenorrhea	A condition of the genital system, caused by hormonal or endocrine disturbances, absence of the uterus, pregnancy, lactation, abnormalities of the genital outflow tract, or failure of the ovaries to retain egg cells during the antenatal period. This condition is characterised by the absence of menstruation by age 16, or the termination of an established menstruation cycle for more than 3-9 months.	amenorrhoea primary or secondary		1
S	G	GS07.02	symptom	Oligomenorrhea				1
S	G	GS08	symptom	Excessive menstruation		pubertal bleeding		0
S	G	GS09	symptom	Irregular or frequent menstruation		frequent menstruation	menorrhagia or pubertal bleeding GS08	0
S	G	GS09.00	symptom	Irregular periods				1
S	G	GS09.01	symptom	Polymenorrhea				1
S	G	GS10	symptom	Intermenstrual bleeding		breakthrough bleeding;dysfunctional uterine bleeding;spotting	post-coital bleeding GS15;post-menopausal bleeding GS14	0
S	G	GS10.00	symptom	Ovulation bleeding				1
S	G	GS11	symptom	Premenstrual symptoms or complaints	Symptoms or complaints characterised by cyclic emotional, physical, or behavioural symptoms such as mood alterations, psychological changes, fluid retention, neurologic changes, gastrointestinal changes, pelvic heaviness, or dermatological changes affecting women in the luteal phase of the menstrual cycle that interfere with an individual's lifestyle.		premenstrual tension syndrome GD68	0
S	G	GS13	symptom	Menopausal symptoms or complaints		menopausal tension;menopause syndrome	postmenopausal bleeding GS14	0
S	G	GS13.00	symptom	Atrophic vaginitis	A condition of the vagina, caused by decreased oestrogen levels during the menopausal period. This condition is characterised by inflammation of the vagina and outer urinary tract, thinning and drying of the vaginal tissues, decreased lubrication, vaginal burning or dryness, shortening and tightening of the vaginal canal, or urinary incontinence after menopause.	senile vaginitis		1
S	G	GS13.01	symptom	Menopausal flushing				1
S	G	GS14	symptom	Postmenopausal bleeding	A condition of the genital system, caused by polyps, endometrial atrophy, hyperplasia, or cancer. This condition is characterised by abnormal uterine bleeding subsequent to the completion of menopause. A condition of the genital system, caused by polyps, endometrial atrophy, hyperplasia, or cancer. This condition is characterised by abnormal uterine bleeding subsequent to the completion of menopause.			0
S	G	GS15	symptom	Postcoital bleeding	A condition of the genital system, caused by infection, cervical ectropion, cervical or endometrial polyps, cancer, or trauma to the cervix or vagina. This condition is characterised by non-menstrual bleeding after sexual intercourse.	contact bleeding		0
S	G	GS16	symptom	Vaginal discharge		leucorrhoea	atrophic vaginitis GS13;chlamydia genital female GD06;gonorrhoea female GD02;intermenstrual bleeding GS10;urogenital candidiasis female GD08;urogenital trichomoniasis female GD04;vaginal bleeding (menstruation excessive) GS08;vaginal bleeding (menstruation irregular/frequent) GS09	0
S	G	GS17	symptom	Other specified vaginal symptoms or complaints		burning in vagina;vaginal dryness;vaginal irritation;vaginal itching;vaginal lesion;vaginal odour;vaginal pruritis	atrophic vaginitis GS13;female genital pain GS03;organic vaginismus GS23	0
S	G	GS18	symptom	Vulval symptoms or complaints		labial burning;vulval burning;vulval dryness;vulval itching;vulval irritation	abscess vulva GD69;vulval pain GS03	0
S	G	GS19	symptom	Pelvis symptoms or complaints			genital pain GS03;pelvic pain GS03;perineal GS03	0
S	G	GS20	symptom	Penis symptoms or complaints		foreskin complaint;foreskin symptom;painful erection;priapism	pain in penis GS01;painful ejaculation GS25	0
S	G	GS21	symptom	Scrotum or testis symptoms or complaints		lump in testis	pain in testis/scrotum GS02	0
S	G	GS21.00	symptom	Swelling of testis		swelling of scrotum		1
S	G	GS22	symptom	Prostate symptoms or complaints		prostatism	urinary frequency and/or urgency US02;urinary retention US04	0
S	G	GS23	symptom	Painful intercourse		female dyspareunia;vaginismus	psychogenic sexual problems (sexual desire reduced) PS07;psychogenic sexual problems (sexual fulfilment reduced) PS07	0
S	G	GS24	symptom	Impotence or erectile dysfunction	Male erectile dysfunction is characterised by inability or marked reduction in the ability in men to attain or sustain a penile erection of sufficient duration or rigidity to allow for sexual activity. The pattern of erectile difficulty occurs despite the desire for sexual activity and adequate sexual stimulation, has occurred episodically or persistently over a period of at least several months, and is associated with clinically significant distress.	impotence of organic origin;erectile dysfunction	psychogenic impotence or reduced sexual fulfilment PS07;reduced sexual desire PS07	0
S	G	GS25	symptom	Other specified sexual function symptoms or complaints		painful ejaculation		0
S	G	GS26	symptom	Lump or mass in breast		lumpy breasts		0
S	G	GS27	symptom	Nipple symptoms or complaints		nipple cracked;nipple fissure;nipple inversion;nipple pain;nipple pruritus;nipple retraction	nipple symptom or complaint in pregnancy or lactation WS06	0
S	G	GS27.00	symptom	Nipple discharge		nipple bleeding		1
S	G	GS28	symptom	Other specified breast symptoms or complaints		galactorrhoea;mastopathy	mastitis (lactating) WD03	0
S	G	GS28.00	symptom	Gynaecomastia	Enlargement of the breast in the males, caused by an excess of estrogens. Physiological gynecomastia is normally observed in newborns; adolescents; and aging males.			1
S	G	GS29	symptom	Infertility or subfertility	Failure to conceive after 1 year of trying to get pregnant.	primary infertility;secondary sterility		0
S	G	GS50	clinicalFinding	Abnormal cervix smear		cervical dysplasia;cervical intraepithelial neoplasia (CIN) grade 1;cervical intraepithelial neoplasia (CIN) grade 2	cervical intraepithelial neoplasia (CIN) grade 3 GD32	0
S	G	GS90	complaint	Concern about breast appearance		concern about shape of breast;concern about size of breast;dissatisfied with breast appearance		0
S	G	GS91	complaint	Concern or fear of sexual dysfunction	Concern about or fear of sexual dysfunction in a patient without sexual dysfunction.		Sexual disfunction PS07	0
S	G	GS92	complaint	Concern or fear of sexually transmitted infection	Concern about or fear of sexually transmitted disease in a patient without the disease and until the diagnosis is proven.		fear of HIV/AIDS BS90	0
S	G	GS93	complaint	Concern or fear of breast cancer	Concern about or fear of breast cancer in a patient without the disease and until the diagnosis is proven.			0
S	G	GS94	complaint	Other specified concern or fear of disease of genital system	Concern about or fear of disease in a patient without the disease and until the diagnosis is proven.	fear of prostate cancer GS94.00	concern/fear of breast cancer female GS93;concern/fear of sexual transmitted infection GS92	0
S	G	GS94.00	complaint	Fear of prostate cancer				1
S	G	GS99	symptom	Other specified symptoms, complaints and abnormal findings of genital system		haematospermia	urethral discharge US10	0
D	H	HD01	infection	Otitis externa	Inflammation and/or desquamation of the outer ear including the external ear canal.	abscess of external auditory meatus;eczema of external auditory meatus;furuncle of external auditory meatus;abscess and/or eczema and/or furuncle of external auditory meatus		0
D	H	HD02	infection	Acute otitis media or myringitis	recent perforation of the tympanic membrane discharging pus; or inflamed and bulging tympanic membrane; or one ear drum more red than the other; or red tympanic membrane, with ear pain; or bullae on the tympanic membrane	acute mastoiditis;acute suppurative otitis media;acute tympanitis;otitis media NOS	chronic otitis media HD05;serous otitis media HD03	0
D	H	HD03	infection	Serous otitis media	Visible fluid behind the tympanic membrane, without inflammation; or dullness of the tympanic membrane with either retracting, bulging, or with related impairment of hearing.	glue ear;otitis media with effusion (OME)	acute otitis media HD02;chronic otitis media HD05	0
D	H	HD04	infection	Eustachian salpingitis		Eustachian block;Eustachian catarrh;Eustachian dysfunction;Eustachian tube dysfunction;otosalpingitis;tubotympanitis	serous otitis media HD03	0
D	H	HD05	infection	Chronic otitis media			serous otitis media HD03	0
D	H	HD05.00	infection	Cholesteatoma	A mass of keratin-producing squamous epithelium that resembles an inverted (suck-in) bag of skin in the middle ear. It arises from the eardrum (tympanic membrane) and grows into the middle ear causing erosion of ear ossicles and mastoid that contains the inner ear.			1
D	H	HD05.02	infection	Mastoiditis	Persistent or recurrent inflammation of the space in the mastoid bone. It is often a complication of otitis media.	petrositis	acute mastoiditis HD02	1
D	H	HD25	neoplasm	Neoplasm of ear			acoustic neuroma ND25.01;polyp ear HD99	0
D	H	HD25.00	neoplasm	Benign neoplasm of ear				1
D	H	HD25.01	neoplasm	Malignant neoplasm of ear				1
D	H	HD25.02	neoplasm	Uncertain neoplasm of ear				1
D	H	HD35	trauma	Acoustic trauma	Noise toxicity can cause hearing loss, either transient or permanent, and impairment. Noise-induced hearing loss typically begins in the high-pitched frequency range of human voices communication. Deafness in the high-frequency range with a definite history of exposure to loud noise.	noise deafness	perforation of ear drum HD65;other ear injury HD37	0
D	H	HD36	trauma	Foreign body in ear				0
D	H	HD37	trauma	Other specified or unknown ear injury		external meatus/pinna injury;traumatic/pressure rupture of ear drum;unknown ear injury		0
D	H	HD55	congenital	Congenital anomaly of ear		accessory auricle;outstanding ears	congenital deafness HD69	0
D	H	HD55.00	congenital	Bat ears				1
D	H	HD65	otherDiagnosis	Perforation of ear drum		non traumatic ruptured ear drum	perforation ear drum with infection (acute otitis media/myringitis) HD02;perforation ear drum with infection (chronic otitis media) HD05;traumatic/pressure rupture ear drum HD37	0
D	H	HD66	otherDiagnosis	Excessive ear wax	symptom or complaint due to wax in ear canal.	impacted cerumen		0
D	H	HD67	otherDiagnosis	Vestibular syndrome	Syndromes with true rotational vertigo.			0
D	H	HD67.00	otherDiagnosis	Benign paroxysmal positional vertigo	Benign paroxysmal positional vertigo is defined as an abnormal sensation of motion that is elicited by certain critical provocative physical positions of the patient (e.g. becoming dorsal recumbent). The provocative positions usually trigger specific eye movements (e.g. nystagmus). The character and direction of the nystagmus is specific to the part of the inner ear affected and the underlying pathophysiology.			1
D	H	HD67.01	otherDiagnosis	Labyrinthitis	1. Labyrinthitis is an inflammatory disorder of the inner ear (labyrinth) producing disturbances of balance and hearing to varying degrees. It can be caused by bacterial or viral infections and autoimmune processes. 2. Vestibular neuritis (also known as vestibular neuronitis) may be described as acute, sustained dysfunction of the peripheral vestibular system with secondary nausea, vomiting, and vertigo. Important negative features include aural fullness and hearing loss.	vestibular neuritis		1
